Frequency,Magnitude
0.0,0.00019182410835345956
0.0049997500124993755,0.003371222096511375
0.009999500024998751,0.00612188662599636
0.014999250037498127,0.015365143037799211
0.019999000049997502,0.0017574234699139946
0.024998750062496876,0.015199664662676454
0.029998500074996253,0.011252933746429182
0.03499825008749563,0.0060762986506608056
0.039998000099995004,0.007757823808278094
0.04499775011249438,0.013433364915431472
0.04999750012499375,0.0061449884719123465
0.05499725013749313,0.012919357021927272
0.059997000149992506,0.004501566846002292
0.06499675016249189,0.0004207118327469202
0.06999650017499126,0.005414424727235443
0.07499625018749063,0.007289831413646875
0.07999600019999001,0.0010829291656075316
0.08499575021248938,0.003049244020173368
0.08999550022498876,0.0055026981533469535
0.09499525023748813,0.006654993752631933
0.0999950002499875,0.002390683189246677
0.10499475026248689,0.007735124340904065
0.10999450027498626,0.002001294681987906
0.11499425028748564,0.00802439712811236
0.11999400029998501,0.005416171595232538
0.12499375031248439,0.0045151760653008004
0.12999350032498377,0.008004131256455656
0.13499325033748313,0.0055734231169229185
0.13999300034998252,0.0021074155897124504
0.14499275036248188,0.012154929797387715
0.14999250037498127,0.011532273461552882
0.15499225038748063,0.006791647353067503
0.15999200039998002,0.0031985708642248236
0.1649917504124794,0.0019555645398760865
0.16999150042497876,0.008702395876125715
0.17499125043747815,0.01217198181652009
0.1799910004499775,0.002617887859008269
0.1849907504624769,0.0035819933370540217
0.18999050047497626,0.004310432862103249
0.19499025048747565,0.0010559699371994577
0.199990000499975,0.004585782150852541
0.2049897505124744,0.0003308035777548017
0.20998950052497378,0.005029680849069683
0.21498925053747314,0.009135675653342655
0.21998900054997253,0.0006604314755032573
0.2249887505624719,0.0060415105370763824
0.22998850057497128,0.005335007180289844
0.23498825058747064,0.018246123956576422
0.23998800059997002,0.0055133998299355435
0.2449877506124694,0.010505153344872793
0.24998750062496877,0.01057285193064111
0.25498725063746813,0.007206362754115449
0.25998700064996755,0.0064176908176208185
0.2649867506624669,0.0018130367260950889
0.26998650067496627,0.005958228254655197
0.2749862506874656,0.008117495660482846
0.27998600069996504,0.009618424159992901
0.2849857507124644,0.007401503587470808
0.28998550072496376,0.005715420584832115
0.2949852507374632,0.0061119675244807005
0.29998500074996254,0.007018597224702561
0.3049847507624619,0.003693881682358761
0.30998450077496126,0.00353286341976844
0.3149842507874607,0.008750854349030227
